site_web;nom_restaurant;ville;code_postal;score_anciennete;non_responsive;sans_https;techno;copyright;indices_anciennete
http://yolo-suresnes.fr;YOLO;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://restaurant-leparis-metz.fr;Le Paris;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://manekineko76.fr;Maneki Neko;;;5;non;non;wordpress 5.3.22;2017;WordPress 5 | copyright 2017
http://restaurant-larchestrate.fr;L'Archestrate;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://lecabanon-arcachon.fr;Le Cabanon;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://restaurant-michel-13.fr;Chez Michel;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://letoiledargent.fr;L'Étoile d'Argent;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://hotellarenaissance.fr;La Renaissance Saint-Ferréol;;;5;oui;non;—;1999;non responsive | copyright 1999
https://agrology.fr;Agrology;;;5;oui;non;—;1999;non responsive | copyright 1999
https://lcancuna.fr;L’Cancuna;;;5;oui;non;webacappella 4.6.26 free (win);2021;non responsive | copyright 2021
https://scala-pithiviers.fr/fr/;La Scala;;;5;non;non;joomla! - open source content management;2015;Joomla | copyright 2015
http://moncommerce35.fr;La Cour du Temple;;;5;oui;oui;—;—;non responsive | pas de HTTPS
