domaine	nom	niche	ville	dept	nb_etablissements	url_brute
alphametal-29.com	Alpha Métal	artisanat_btp	Brest	29	1	https://alphametal-29.com/
altea-coiffure-institut.com	Altea	beaute_bienetre	Lyon	69	1	https://altea-coiffure-institut.com/
altermove.com	Altermove	services_proximite	Paris	75	3	https://www.altermove.com/content/9-altermove-de-paris-5
alternative.bike	Alternative Bike	services_proximite	Paris	75	1	https://alternative.bike
alticoopvelo.com	Alticoop VTT	services_proximite	Nice	6	1	https://alticoopvelo.com/decouvrez-le-magasin-alticoop-vtt/
altitudebois.com	Altitude Bois	artisanat_btp	Marseille	13	1	https://www.altitudebois.com/
alu-men.com	Alu-Men	artisanat_btp	Bordeaux	33	1	https://www.alu-men.com/
alu-sud.fr	Alu Sud	artisanat_btp	Toulouse	31	1	https://www.alu-sud.fr
alucatalan.fr	Alu Catalan	artisanat_btp	Perpignan	66	1	https://www.alucatalan.fr/
aluprojets.com	Alu Projets	artisanat_btp	Perpignan	66	1	https://www.aluprojets.com/
alvy-cycle.com	Alvy Cycle	services_proximite	Paris	75	1	https://www.alvy-cycle.com/
alynbeaute.fr	Alyn Beauté	beaute_bienetre	Paris	75	1	https://alynbeaute.fr
amafolia.fr	Amafolia	restauration	Toulouse	31	1	https://www.amafolia.fr/
amalyne.labnoonfood.fr	Amalyne	restauration	Lille	59	1	https://amalyne.labnoonfood.fr/
amand-douce.fr	Amand'Douce	beaute_bienetre	Lyon	69	1	https://www.amand-douce.fr/
amazen-spa.fr	Amazen	beaute_bienetre	Lyon	69	1	https://www.amazen-spa.fr/
amazonicorestaurant.com	Amazónico Monte-Carlo	restauration	Nice	6	1	https://www.amazonicorestaurant.com/monte-carlo/
ambianceetjardin.com	Ambiance et Jardin	artisanat_btp	Reims	51	1	https://www.ambianceetjardin.com/
ambiances-peinture.fr	Ambiances Peinture & Revêtement	artisanat_btp	Orleans	45	1	https://ambiances-peinture.fr/
ambre.coiffure69260.free.fr	Ambre Coiffure	beaute_bienetre	Lyon	69	1	http://ambre.coiffure69260.free.fr/
americancarwash-rennes.fr	American Car Wash	automobile	Rennes	35	1	https://www.americancarwash-rennes.fr/
americancarwash.com	American Car Wash	automobile	La Rochelle	17	1	https://www.americancarwash.com/magasins/9-american-car-wash-la-rochelle
americashophair.fr	America Shop Hair	beaute_bienetre	Nantes	44	1	https://www.americashophair.fr
ami-chemin.com	Ami-Chemin	restauration	Bordeaux	33	1	https://ami-chemin.com
amicimiei.mc	Amici Miei	restauration	Nice	6	1	https://amicimiei.mc/
amitieinstitutdebeaute.fr	Institut Amitié	beaute_bienetre	Paris	75	1	https://www.amitieinstitutdebeaute.fr
aml-nantes.com	AML Hair Beauty	beaute_bienetre	Nantes	44	1	https://www.aml-nantes.com
amore-mia.fr	Amore Mia	restauration	Toulouse	31	1	https://amore-mia.fr/
